Percent of connections that are bidirected: 0.005466416966138584
rule_id, collapses, edges_approx, total_cost, rule_details
1, 493, 0, 750232, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2), (1, 3)]
10, 1476, 0, 725187, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3), (1, 5)]
1, 82, 0, 723807, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2), (1, 3)]
10, 576, 472, 715445, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3), (1, 5)]
1, 38, 0, 714813, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2), (1, 3)]
61, 38, 0, 713014, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 121), ('type_1', 'type_1'), ('type_1', 2352), ('type_1', 121), ('type_1', 101), (121, 101), (121, 2352)]
66, 17, 0, 712772, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 7103), ('type_1', 'type_1'), (7103, 162), (7103, 7107)]
65, 2, 8, 718719, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
24, 2, 8, 718657, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 3992), ('type_1', 4), (4, 3992)]
16, 3, 12, 718692, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
57, 1, 3, 718629, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 91), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 91), ('type_1', 118), (91, 118)]
0, 1, 3, 718648, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
16, 4, 16, 718690, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
57, 1, 4, 718591, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 91), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 91), ('type_1', 118), (91, 118)]
9, 1, 4, 718612, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 3, 11, 718645, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
25, 1, 4, 718621, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 3995), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (3995, 4)]
0, 2, 6, 718645, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
16, 1, 4, 718666, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 1, 4, 718687, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
53, 1, 4, 718663, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1569), ('type_0', 79), ('type_1', 'type_1'), ('type_1', 1569), (1569, 79)]
9, 1, 4, 718684, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
47, 1, 4, 718690, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 62), ('type_1', 'type_1'), ('type_1', 62), (62, 6701), (6701, 62)]
9, 3, 15, 718731, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
15, 1, 5, 718754, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
0, 4, 16, 718796, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
15, 3, 15, 718837, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
9, 5, 25, 718896, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 2, 9, 718926, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
15, 2, 9, 718956, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
9, 16, 77, 719108, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 3, 12, 719143, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 1, 5, 719166, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
16, 1, 3, 719185, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
26, 1, 4, 719176, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 3669), ('type_1', 'type_1'), ('type_1', 4), ('type_1', 3669), (4, 3669)]
16, 2, 10, 719208, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
9, 1, 5, 719231, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 6, 26, 719291, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
15, 1, 5, 719314, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
9, 7, 35, 719391, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 1, 4, 719412, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 1, 5, 719435, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 4, 16, 719477, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
15, 2, 9, 719507, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
9, 10, 49, 719609, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
15, 1, 5, 719632, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
24, 1, 0, 719600, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 3992), ('type_1', 4), (4, 3992)]
9, 4, 18, 719646, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 2, 7, 719672, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 2, 10, 719704, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 4, 16, 719746, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 1, 4, 719767, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 4, 20, 719817, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
16, 1, 3, 719836, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 4, 20, 719886, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
25, 1, 4, 719832, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 3995), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (3995, 4)]
9, 2, 10, 719864, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 1, 4, 719885, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
16, 1, 4, 719906, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
9, 1, 5, 719929, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
15, 1, 5, 719952, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
0, 4, 15, 719992, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 2, 10, 720024, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
15, 2, 10, 720056, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
9, 1, 5, 720079, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 8, 39, 720163, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
16, 1, 4, 720184, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
47, 1, 4, 720190, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 62), ('type_1', 'type_1'), ('type_1', 62), (62, 6701), (6701, 62)]
16, 1, 5, 720213, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 13, 63, 720340, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 7, 35, 720417, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 1, 5, 720440, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 1, 5, 720463, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 8, 40, 720549, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
15, 1, 5, 720572, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
64, 2, 10, 720454, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 147), ('type_0', 149), ('type_1', 'type_1'), ('type_1', 149), (147, 149), (149, 147)]
16, 3, 13, 720491, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
15, 2, 9, 720521, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
16, 11, 55, 720634, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 1, 4, 720655, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
16, 2, 9, 720685, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 1, 4, 720706, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 1, 5, 720729, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
16, 13, 72, 720874, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 5, 23, 720929, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
16, 6, 31, 720999, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
26, 1, 4, 720990, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 3669), ('type_1', 'type_1'), ('type_1', 4), ('type_1', 3669), (4, 3669)]
9, 1, 5, 721013, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
65, 4, 20, 721003, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
0, 2, 9, 721033, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
47, 3, 15, 721029, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 62), ('type_1', 'type_1'), ('type_1', 62), (62, 6701), (6701, 62)]
0, 2, 10, 721061, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
16, 2, 9, 721091, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 2, 10, 721123, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
15, 1, 5, 721146, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
9, 1, 5, 721169, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
15, 2, 10, 721201, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
0, 7, 37, 721282, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
24, 2, 8, 721190, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 3992), ('type_1', 4), (4, 3992)]
0, 17, 100, 721387, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
65, 2, 9, 721387, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
0, 22, 129, 721637, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
15, 1, 5, 721660, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
16, 2, 8, 721688, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 1, 4, 721709, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
26, 2, 9, 721619, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 3669), ('type_1', 'type_1'), ('type_1', 4), ('type_1', 3669), (4, 3669)]
15, 1, 5, 721642, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
16, 3, 15, 721683, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
24, 1, 5, 721646, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 3992), ('type_1', 4), (4, 3992)]
64, 2, 10, 721168, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 147), ('type_0', 149), ('type_1', 'type_1'), ('type_1', 149), (147, 149), (149, 147)]
15, 2, 10, 721200, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
53, 2, 10, 721052, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1569), ('type_0', 79), ('type_1', 'type_1'), ('type_1', 1569), (1569, 79)]
15, 3, 15, 721093, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
16, 3, 14, 721132, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 2, 10, 721164, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
53, 1, 5, 721142, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1569), ('type_0', 79), ('type_1', 'type_1'), ('type_1', 1569), (1569, 79)]
65, 4, 18, 721128, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
47, 1, 5, 721136, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 62), ('type_1', 'type_1'), ('type_1', 62), (62, 6701), (6701, 62)]
16, 2, 11, 721170, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
53, 2, 10, 721112, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1569), ('type_0', 79), ('type_1', 'type_1'), ('type_1', 1569), (1569, 79)]
47, 4, 23, 721108, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 62), ('type_1', 'type_1'), ('type_1', 62), (62, 6701), (6701, 62)]
25, 2, 11, 721052, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 3995), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (3995, 4)]
9, 2, 10, 721084, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
16, 3, 18, 721131, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
9, 1, 6, 721156, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
15, 1, 6, 721181, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
65, 1, 5, 721189, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
16, 1, 5, 721212, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
9, 1, 6, 721237, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
15, 7, 42, 721328, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
0, 1, 5, 721351, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 2, 12, 721387, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
16, 3, 18, 721434, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
9, 1, 6, 721459, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
24, 1, 5, 721437, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 3992), ('type_1', 4), (4, 3992)]
0, 4, 22, 721491, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 3, 18, 721538, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
15, 1, 6, 721563, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
9, 3, 18, 721610, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
15, 1, 6, 721635, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
9, 2, 12, 721671, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
0, 1, 6, 721696, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
15, 2, 12, 721732, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
9, 3, 18, 721779, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
64, 1, 4, 721695, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 147), ('type_0', 149), ('type_1', 'type_1'), ('type_1', 149), (147, 149), (149, 147)]
65, 1, 4, 721701, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
64, 1, 5, 721664, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 147), ('type_0', 149), ('type_1', 'type_1'), ('type_1', 149), (147, 149), (149, 147)]
65, 1, 4, 721670, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
16, 1, 5, 721693, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
15, 4, 23, 721749, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
65, 5, 29, 721741, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
16, 6, 35, 721819, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
9, 4, 24, 721877, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
16, 2, 12, 721913, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
0, 9, 53, 722024, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
47, 4, 24, 722022, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 62), ('type_1', 'type_1'), ('type_1', 62), (62, 6701), (6701, 62)]
65, 1, 5, 722030, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
24, 4, 23, 721801, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 3992), ('type_1', 4), (4, 3992)]
15, 3, 18, 721848, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
65, 2, 12, 721854, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
0, 1, 5, 721877, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
9, 2, 12, 721913, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
63, 3, 17, 721673, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 112), ('type_1', 'type_1'), ('type_1', 112), ('type_1', 5072), (112, 5072), (5072, 112)]
16, 6, 35, 721751, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
81, 1, 5, 721594, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 331), ('type_0', 334), ('type_1', 'type_1'), ('type_1', 331), ('type_1', 334), (331, 334), (334, 331)]
15, 2, 12, 721630, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (1, 4)]
16, 1, 5, 721653, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
25, 2, 12, 721539, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 3995), ('type_0', 4), ('type_1', 'type_1'), ('type_1', 4), (3995, 4)]
16, 1, 5, 721562, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
53, 2, 12, 721448, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1569), ('type_0', 79), ('type_1', 'type_1'), ('type_1', 1569), (1569, 79)]
9, 7, 41, 721537, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 1), (1, 3)]
65, 4, 24, 721535, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 157), ('type_1', 'type_1'), ('type_1', 1302), (157, 1302), (1302, 157)]
0, 1, 6, 721560, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 1), ('type_1', 'type_1'), ('type_1', 2), (1, 2)]
16, 3, 15, 721601, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 9), ('type_1', 'type_1'), ('type_1', 1), (1, 9)]
