Percent of connections that are bidirected: 0.3944938440492476
rule_id, collapses, edges_approx, total_cost, rule_details
12, 8, 0, 229460, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593), (792, 593)]
39, 15, 0, 229291, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 689), ('type_1', 'type_1'), ('type_1', 689), (689, 847), (689, 849)]
23, 9, 0, 229206, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593), (1052, 593)]
11, 30, 0, 229207, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 13, 232456, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
33, 1, 13, 232480, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 2, 25, 232539, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 13, 232563, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 3, 42, 232655, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
33, 2, 27, 232694, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 1, 11, 232726, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 1, 14, 232764, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 3, 39, 232814, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 4, 52, 232925, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 2, 28, 232990, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 3, 42, 233046, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
33, 2, 28, 233087, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
0, 4, 55, 233156, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 7, 94, 233348, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 14, 233374, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
38, 2, 30, 233443, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 1, 15, 233471, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
48, 1, 15, 233127, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
0, 3, 45, 233189, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 1, 15, 233229, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 3, 45, 233291, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 1, 14, 233329, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
33, 1, 15, 233357, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
21, 1, 16, 233399, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 1, 15, 233427, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 1, 16, 233469, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 1, 16, 233511, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
11, 1, 15, 233551, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 3, 48, 233619, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 13, 200, 234017, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 16, 234047, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
33, 2, 33, 234098, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
21, 1, 17, 234142, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 2, 33, 234193, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 3, 51, 234303, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 17, 234335, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
38, 1, 17, 234379, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
21, 1, 17, 234423, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 1, 16, 234465, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 2, 34, 234518, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
38, 1, 16, 234560, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 1, 16, 234590, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
21, 1, 17, 234634, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
38, 3, 51, 234744, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
0, 1, 17, 234776, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 3, 51, 234886, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 1, 18, 234932, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 1, 18, 234978, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 2, 38, 235039, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 5, 90, 235225, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
33, 1, 19, 235261, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 8, 155, 235574, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 1, 20, 235624, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 1, 20, 235674, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 19, 235710, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 1, 20, 235760, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
38, 2, 37, 235843, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 2, 40, 235932, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 2, 40, 235997, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
38, 1, 19, 236045, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
21, 1, 21, 236097, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
38, 2, 40, 236186, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 1, 20, 236224, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 1, 20, 236274, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 2, 42, 236367, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 1, 21, 236407, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
38, 4, 87, 236588, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 3, 65, 236690, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
21, 1, 22, 236744, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 1, 22, 236798, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
11, 2, 42, 236891, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 22, 236933, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 1, 21, 236985, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 22, 237027, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 2, 42, 237120, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
48, 1, 22, 236142, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
33, 1, 21, 236182, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 3, 65, 236320, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 22, 236362, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
38, 3, 68, 236506, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
21, 1, 23, 236562, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 3, 69, 236672, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 7, 154, 236984, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 1, 23, 237040, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
21, 1, 24, 237098, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 1, 24, 237144, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
33, 1, 24, 237190, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
38, 2, 48, 237295, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 1, 23, 237351, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 1, 24, 237409, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 6, 138, 237690, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 2, 48, 237795, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 1, 25, 237843, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
31, 1, 25, 237903, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
11, 2, 49, 238010, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 25, 238058, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
38, 1, 25, 238118, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 3, 75, 238276, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 2, 51, 238387, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
0, 3, 77, 238513, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
33, 3, 78, 238641, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 3, 78, 238805, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 3, 80, 238973, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
51, 1, 27, 238917, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 118), ('type_0', 766), ('type_1', 'type_1'), ('type_1', 118), (766, 118)]
11, 1, 19, 238965, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 30, 239023, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 8, 223, 239472, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 1, 28, 239538, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 2, 53, 239653, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 4, 115, 239890, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
48, 1, 29, 239730, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
33, 2, 59, 239833, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 2, 57, 239956, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 1, 29, 240024, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
0, 1, 29, 240080, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 1, 30, 240150, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
48, 2, 63, 238905, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
11, 3, 91, 239095, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 31, 239155, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
48, 1, 30, 238853, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
51, 1, 31, 238649, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 118), ('type_0', 766), ('type_1', 'type_1'), ('type_1', 118), (766, 118)]
0, 1, 31, 238709, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
38, 2, 63, 238844, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 1, 32, 238918, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 1, 31, 238990, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 1, 32, 239064, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
33, 3, 98, 239232, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
0, 1, 33, 239296, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
33, 1, 32, 239358, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 1, 32, 239432, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 2, 67, 239575, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
48, 1, 33, 239363, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
11, 1, 33, 239439, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
59, 1, 31, 239411, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 117), ('type_1', 'type_1'), ('type_1', 117), ('type_1', 15), (15, 117), (117, 15)]
11, 2, 64, 239548, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 5, 169, 239892, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
0, 3, 102, 240068, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 2, 68, 240213, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
51, 1, 34, 240099, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 118), ('type_0', 766), ('type_1', 'type_1'), ('type_1', 118), (766, 118)]
11, 3, 99, 240305, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 2, 70, 240454, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 4, 142, 240697, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
0, 2, 72, 240826, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
38, 1, 35, 240906, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
59, 1, 35, 240830, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 117), ('type_1', 'type_1'), ('type_1', 117), ('type_1', 15), (15, 117), (117, 15)]
11, 1, 34, 240908, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
33, 1, 34, 240974, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
38, 1, 34, 241052, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 2, 71, 241179, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
38, 3, 108, 241403, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 3, 109, 241593, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 2, 74, 241750, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 3, 110, 241978, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 1, 38, 242064, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
85, 1, 38, 241990, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 98), ('type_0', 83), ('type_1', 'type_1'), ('type_1', 83), (83, 98)]
38, 3, 107, 242212, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
0, 1, 38, 242286, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
33, 1, 38, 242360, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 1, 38, 242446, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
33, 4, 154, 242713, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
38, 1, 38, 242799, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
48, 1, 37, 242379, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
11, 1, 37, 242463, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
33, 4, 153, 242728, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
85, 1, 38, 242598, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 98), ('type_0', 83), ('type_1', 'type_1'), ('type_1', 83), (83, 98)]
38, 4, 145, 242895, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
33, 2, 77, 243034, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
38, 1, 39, 243122, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
